Name,Last Name,Email,Gender,Mobile Number,Date of Birth,Subject,Address,Hobbies,State,City
John,Doe,john.doe@example.com,Male,1234567890,01-01-1990,Maths,123 Main St,Sports,NCR,Delhi
Jane,Smith,jane.smith@example.com,Female,0987654321,02-02-1992,Computer Science,456 Oak St,Reading,Uttar Pradesh,Agra
Alice,Brown,alice.brown@example.com,Female,2345678901,03-03-1988,History,789 Pine St,Music,Haryana,Karnal
Bob,Johnson,bob.johnson@example.com,Male,3456789012,04-04-1995,Arts,101 Maple St,Sports,Rajasthan,Jaipur
Charlie,White,charlie.white@example.com,Male,4567890123,05-05-1992,Physics,202 Cedar St,Reading,NCR,Noida
David,Lee,david.lee@example.com,Male,5678901234,06-06-1985,Chemistry,303 Birch St,Music,Uttar Pradesh,Lucknow
Eva,Green,eva.green@example.com,Female,6789012345,07-07-1989,Biology,404 Ash St,Sports,Haryana,Panipat
Frank,Black,frank.black@example.com,Male,7890123456,08-08-1980,Mathematics,505 Elm St,Reading,Rajasthan,Jaisalmer
Grace,King,grace.king@example.com,Female,8901234567,09-09-1993,Civics,606 Spruce St,Music,NCR,Gurgaon
Henry,Wang,henry.wang@example.com,Male,9012345678,10-10-1991,Economics,707 Fir St,Sports,Uttar Pradesh,Merrut

